,ndays,justvalue,累计买入金额,累计卖出金额,股票剩余资产,开始日期,结束日期,IRR
171,1070,0.040000000000000015,182700.0,59600.0,247151.14,20150710,20191101,0.4729294703769593
172,1070,0.030000000000000013,197600.0,54100.0,279074.11,20150710,20191101,0.4665138156905613
173,1070,0.02000000000000001,213300.0,49300.0,311180.63,20150710,20191101,0.4615116912711992
174,1070,0.01000000000000001,229400.0,44800.0,343461.59,20150710,20191101,0.45717319626643604
175,1070,1.0408340855860843e-17,245900.0,40800.0,375565.08,20150710,20191101,0.45349798802101216
176,1060,0.1,104200.0,100624.69,60252.29,20150710,20191101,0.5523161964081202
177,1060,0.09000000000000001,116600.0,94597.56,89392.44,20150710,20191101,0.5355908281655664
178,1060,0.08000000000000002,129300.0,88704.5,118893.61,20150710,20191101,0.5244957647553061
179,1060,0.07000000000000002,142100.0,81400.0,150438.5,20150710,20191101,0.5079643165970982
180,1060,0.06000000000000002,155200.0,74100.0,182361.47,20150710,20191101,0.4940884894586439
181,1060,0.05000000000000002,168900.0,67200.0,214645.47,20150710,20191101,0.4839044394162828
182,1060,0.040000000000000015,183100.0,60900.0,246748.95,20150710,20191101,0.4757561244853159
183,1060,0.030000000000000013,197800.0,55300.0,278494.45,20150710,20191101,0.46906491784957094
184,1060,0.02000000000000001,213600.0,50400.0,310955.92,20150710,20191101,0.4637891257079696
185,1060,0.01000000000000001,229500.0,45800.0,343059.41,20150710,20191101,0.45926635683919415
186,1060,1.0408340855860843e-17,246000.0,41800.0,375162.89,20150710,20191101,0.45542439379979704
187,1050,0.1,103400.0,101453.3,58075.2,20150710,20191101,0.5532481346005147
188,1050,0.09000000000000001,115700.0,95359.57,87215.35,20150710,20191101,0.5368615660546583
189,1050,0.08000000000000002,128400.0,89429.0,116716.52,20150710,20191101,0.5251678922196135
190,1050,0.07000000000000002,141100.0,83100.0,146790.87,20150710,20191101,0.5137852474045079
191,1050,0.06000000000000002,154100.0,75700.0,178713.84,20150710,20191101,0.4988023818433662
192,1050,0.05000000000000002,167800.0,68800.0,210997.83,20150710,20191101,0.4878496858630177
193,1050,0.040000000000000015,182000.0,62500.0,243101.32,20150710,20191101,0.47913608108065553
194,1050,0.030000000000000013,196500.0,56700.0,274846.82,20150710,20191101,0.47201531891027937
195,1050,0.02000000000000001,212300.0,51800.0,307308.29,20150710,20191101,0.4664017371854845
196,1050,0.01000000000000001,228200.0,47200.0,339411.77,20150710,20191101,0.46160822534588863
197,1050,1.0408340855860843e-17,244600.0,43100.0,371515.26,20150710,20191101,0.4575445524875654
198,1040,0.1,102500.0,102675.55,55091.51,20150710,20191101,0.5543748997545173
199,1040,0.09000000000000001,114800.0,96594.75,84231.65,20150710,20191101,0.5378127828947976
200,1040,0.08000000000000002,127400.0,90574.04,113732.82,20150710,20191101,0.5261002043676744
201,1040,0.07000000000000002,140000.0,84675.38,143053.48,20150710,20191101,0.5172621815509482
202,1040,0.06000000000000002,152700.0,77400.0,174377.25,20150710,20191101,0.5032669970938652
203,1040,0.05000000000000002,166300.0,70400.0,206661.25,20150710,20191101,0.491529676550595
204,1040,0.040000000000000015,180400.0,64000.0,238764.73,20150710,20191101,0.48224846975930546
205,1040,0.030000000000000013,194700.0,58000.0,270510.23,20150710,20191101,0.47470240921259066
206,1040,0.02000000000000001,210300.0,52900.0,302971.71,20150710,20191101,0.46875929606227107
207,1040,0.01000000000000001,226200.0,48300.0,335075.19,20150710,20191101,0.4637043399221774
208,1040,1.0408340855860843e-17,242500.0,44100.0,367178.68,20150710,20191101,0.45942866617669775
209,1030,0.1,102100.0,104221.39,52437.21,20150710,20191101,0.5556510407340953
210,1030,0.09000000000000001,114400.0,98153.3,81577.35,20150710,20191101,0.5389310934529323
211,1030,0.08000000000000002,126900.0,92059.57,111078.52,20150710,20191101,0.5273738682354479
212,1030,0.07000000000000002,139500.0,86137.21,140399.18,20150710,20191101,0.5181175565891927
213,1030,0.06000000000000002,152100.0,79500.0,170711.06,20150710,20191101,0.5071413752116838
214,1030,0.05000000000000002,165600.0,72400.0,202995.06,20150710,20191101,0.4947187124987096
215,1030,0.040000000000000015,179500.0,65800.0,235098.55,20150710,20191101,0.48494379193131376
216,1030,0.030000000000000013,193800.0,59800.0,266844.04,20150710,20191101,0.4770288030135905
217,1030,0.02000000000000001,209300.0,54600.0,299305.52,20150710,20191101,0.4708000161888215
218,1030,0.01000000000000001,225000.0,49800.0,331409.0,20150710,20191101,0.4655188336555094
219,1030,1.0408340855860843e-17,241200.0,45500.0,363512.49,20150710,20191101,0.46105986669244814
220,1020,0.1,101500.0,106132.08,49226.8,20150710,20191101,0.5561592341355448
221,1020,0.09000000000000001,113700.0,99975.55,78366.94,20150710,20191101,0.5394211174750252
222,1020,0.08000000000000002,126200.0,93894.75,107868.11,20150710,20191101,0.5279046134865073
223,1020,0.07000000000000002,138700.0,87872.54,137188.77,20150710,20191101,0.5186213175417231
224,1020,0.06000000000000002,151200.0,81977.71,166328.91,20150710,20191101,0.5113789954758863
225,1020,0.05000000000000002,164600.0,74800.0,198581.69,20150710,20191101,0.4982740734621016
226,1020,0.040000000000000015,178400.0,68100.0,230685.18,20150710,20191101,0.4879396601921382
227,1020,0.030000000000000013,192700.0,62100.0,262430.68,20150710,20191101,0.479608752679872
228,1020,0.02000000000000001,208000.0,56700.0,294892.15,20150710,20191101,0.47305890901878644
229,1020,0.01000000000000001,223700.0,51900.0,326995.63,20150710,20191101,0.4675243396212725
230,1020,1.0408340855860843e-17,239900.0,47600.0,359099.12,20150710,20191101,0.46286058800968366
231,1010,0.1,102400.0,107288.56,49500.85,20150710,20191101,0.5528590853184356
232,1010,0.09000000000000001,114500.0,101021.39,78640.99,20150710,20191101,0.5367815854579572
233,1010,0.08000000000000002,127000.0,94951.34,108142.16,20150710,20191101,0.5259699866980716
234,1010,0.07000000000000002,139400.0,88842.04,137462.82,20150710,20191101,0.5172458953595971
235,1010,0.06000000000000002,151900.0,82935.26,166602.96,20150710,20191101,0.5101829471579444
236,1010,0.05000000000000002,164900.0,76100.0,197819.36,20150710,20191101,0.5001653542138884
237,1010,0.040000000000000015,178600.0,69300.0,229922.84,20150710,20191101,0.4895857636495249
238,1010,0.030000000000000013,192900.0,63200.0,261845.81,20150710,20191101,0.48103817608120547
239,1010,0.02000000000000001,208000.0,57700.0,294129.81,20150710,20191101,0.4743657853368388
240,1010,0.01000000000000001,223700.0,52900.0,326233.3,20150710,20191101,0.4687090678251682
241,1010,1.0408340855860843e-17,239900.0,48600.0,358336.78,20150710,20191101,0.46394398013127613
242,1000,0.1,103400.0,107765.49,50769.91,20150710,20191101,0.5499403308160566
243,1000,0.09000000000000001,115400.0,101347.46,79910.05,20150710,20191101,0.5339017207115937
244,1000,0.08000000000000002,127800.0,95186.71,109411.22,20150710,20191101,0.5238097207476367
245,1000,0.07000000000000002,140200.0,89102.19,138731.88,20150710,20191101,0.5157902473137854
246,1000,0.06000000000000002,152700.0,83173.81,167872.02,20150710,20191101,0.5088605732682439
247,1000,0.05000000000000002,165700.0,77000.0,198189.55,20150710,20191101,0.5016696774961416
